Date,Open,High,Low,Close,Adj Close,Volume
2012-06-01,28.760000,31.139999,28.320000,30.590000,24.589527,973131400
2012-07-01,30.620001,31.049999,28.540001,29.469999,23.689230,846604100
2012-08-01,29.590000,30.959999,28.969999,30.820000,24.774410,671748400
2012-09-01,30.450001,31.610001,29.740000,29.760000,24.080826,893107700
2012-10-01,29.809999,30.250000,27.760000,28.540001,23.093634,1105402300
2012-11-01,28.840000,30.200001,26.340000,26.620001,21.540033,1310516100
2012-12-01,26.780001,27.730000,26.260000,26.709999,21.790455,947310900
2013-01-01,27.250000,28.230000,26.280001,27.450001,22.394165,1145054400
2013-02-01,27.670000,28.200001,27.100000,27.799999,22.679701,780587000
2013-03-01,27.719999,28.660000,27.520000,28.610001,23.533754,844946000
2013-04-01,28.639999,33.110001,28.110001,33.099998,27.227091,1465757200
2013-05-01,32.930000,35.279999,32.320000,34.900002,28.707724,1071860000
2013-06-01,34.919998,35.779999,32.570000,34.540001,28.610830,945155500
2013-07-01,34.750000,36.430000,31.020000,31.840000,26.374311,1111130600
2013-08-01,32.060001,35.200001,30.840000,33.400002,27.666515,1051265000
2013-09-01,31.750000,33.750000,30.950001,33.279999,27.761375,1242961500
2013-10-01,33.349998,36.290001,32.799999,35.410000,29.538164,965331500
2013-11-01,35.669998,38.290001,35.389999,38.130001,31.807127,800431600
2013-12-01,38.090000,38.980000,35.529999,37.410000,31.443201,826617700
2014-01-01,37.349998,37.889999,34.630001,37.840000,31.804598,930226200
2014-02-01,37.740002,38.459999,35.689999,38.310001,32.199635,705304500
2014-03-01,37.919998,41.500000,37.490002,40.990002,34.710537,778425700
2014-04-01,41.150002,41.660000,38.900002,40.400002,34.210926,746112500
2014-05-01,40.240002,40.970001,38.509998,40.939999,34.668186,574362900
2014-06-01,40.950001,42.290001,39.860001,41.700001,35.560883,555767300
2014-07-01,41.860001,45.709999,41.049999,43.160000,36.805931,731616500
2014-08-01,43.209999,45.470001,42.209999,45.430000,38.741749,513919700
2014-09-01,45.430000,47.570000,44.529999,46.360001,39.781750,860827300
2014-10-01,46.270000,46.970001,42.099998,46.950001,40.288029,853260900
2014-11-01,46.889999,50.049999,46.730000,47.810001,41.026005,523005900
2014-12-01,47.880001,49.060001,44.900002,46.450001,40.110371,626771200
2015-01-01,46.660000,47.910000,40.349998,40.400002,34.886105,918966800
2015-02-01,40.590000,44.299999,40.230000,43.849998,37.865234,656509700
2015-03-01,43.669998,44.189999,40.540001,40.660000,35.360497,824335300
2015-04-01,40.599998,49.540001,40.119999,48.639999,42.300396,874535300
2015-05-01,48.580002,48.910000,46.020000,46.860001,40.752392,633072800
2015-06-01,47.060001,47.770000,43.939999,44.150002,38.645149,664853400
2015-07-01,44.459999,47.400002,43.320000,46.700001,40.877182,725458100
2015-08-01,46.980000,48.410000,39.720001,43.520000,38.093678,776480300
2015-09-01,42.169998,45.000000,41.660000,44.259998,38.996891,673079900
2015-10-01,44.750000,54.369999,43.750000,52.639999,46.380402,856716800
2015-11-01,52.849998,54.980000,52.529999,54.349998,47.887070,662626600
2015-12-01,54.410000,56.849998,53.680000,55.480000,49.212177,792820900
2016-01-01,54.320000,55.389999,49.099998,55.090000,48.866230,927914700
2016-02-01,54.880001,55.090000,48.189999,50.880001,45.131866,814770900
2016-03-01,50.970001,55.639999,50.580002,55.230000,49.342171,641110900
2016-04-01,55.049999,56.770000,49.349998,49.869999,44.553558,699025700
2016-05-01,50.000000,53.000000,49.459999,53.000000,47.349903,530704800
2016-06-01,52.439999,52.950001,48.040001,51.169998,46.034729,823627000
2016-07-01,51.130001,57.290001,50.389999,56.680000,50.991768,647587800
2016-08-01,56.599998,58.700001,56.139999,57.459999,51.693474,467078900
2016-09-01,57.009998,58.189999,55.610001,57.599998,52.142406,526427800
2016-10-01,57.410000,61.369999,56.320000,59.919998,54.242588,614841800
2016-11-01,59.970001,61.410000,57.279999,60.259998,54.550377,613056800
2016-12-01,60.110001,64.099998,58.799999,62.139999,56.632252,513579700
2017-01-01,62.790001,65.910004,61.950001,64.650002,58.919773,493453500
2017-02-01,64.360001,65.239998,62.750000,63.980000,58.309166,440744000
2017-03-01,64.129997,66.190002,63.619999,65.860001,60.386414,489169700
2017-04-01,65.809998,69.139999,64.849998,68.459999,62.770344,433191200
2017-05-01,68.680000,70.739998,67.139999,69.839996,64.035667,517218500
2017-06-01,70.239998,72.889999,68.089996,68.930000,63.563538,629716800
